Name,Power Cost,Description,Special Mechanic,Duration,Primary Power type,Secondary power type,Arcana Boost,Special retrictions,speed,Rarity,Animation,Particle Effect,Creator
Rock Off,8W,Hero and Target enemy can only be targeted by each other for 3 turns," targeted(any), Untargetable(exception=caster+target)",,W,,Chaos+1,,3,R,,,MauganKhaine
Holy Conversion,8w,Convert (A)-(L)/3 turns,"Convert (A, all)->(L)",,W,,Light +1,,2,U,,,MauganKhaine
Courageous Sacrifice,8W,"Set HP(self)=0, Untargetable(friendly)(all)/2 turns","Set HP(self), untargetable(friendly)",,W,,Light +1,"Must be in Skyship combat, can only be used once per battle",1,R,,,MauganKhaine
Greater Heal,9w,Heal all party members for 2d6/caster level,Heal,,W,,Light +1,,3,R,,,MauganKhaine
Lords of Darkness,9w,Summon a Demon Prince for 1 turn.,Summon,,W,,Darkness +1,,3,r,,,MauganKhaine
Name,Power Cost,Description,Special Mechanic,,Primary Power type,Secondary power type,Arcana Boost,Special retrictions,speed,Rarity,,,MauganKhaine
Name,Power Cost,Description,Special Mechanic,,Primary Power type,Secondary power type,Arcana Boost,Special retrictions,speed,Rarity,,,MauganKhaine
Name,Power Cost,Description,Special Mechanic,,Primary Power type,Secondary power type,Arcana Boost,Special retrictions,speed,Rarity,,,MauganKhaine
Mechabunnicus,Special,"If Rabbit Golem A, B, and C are in play, summon the mechabunny of doom","Summon,triggered",,I,D,Order +1,,3,r,,,MauganKhaine
Ability Challenge Submissions,,,,,,,,,,,,,Affaf Imran
